COUNTRY,REGION,CONTINENT
Angola,Africa,Africa
Benin,Africa,Africa
Botswana,Africa,Africa
Burkina Faso,Africa,Africa
Burundi,Africa,Africa
Cameroon,Africa,Africa
Central African Republic,Africa,Africa
Chad,Africa,Africa
Congo (Brazzaville),Africa,Africa
Congo (Kinshasa),Africa,Africa
Ethiopia,Africa,Africa
Gabon,Africa,Africa
Ghana,Africa,Africa
Guinea,Africa,Africa
Ivory Coast,Africa,Africa
Kenya,Africa,Africa
Lesotho,Africa,Africa
Liberia,Africa,Africa
Madagascar,Africa,Africa
Malawi,Africa,Africa
Mali,Africa,Africa
Mauritius,Africa,Africa
Mozambique,Africa,Africa
Namibia,Africa,Africa
Niger,Africa,Africa
Nigeria,Africa,Africa
Rwanda,Africa,Africa
Senegal,Africa,Africa
Sierra Leone,Africa,Africa
Somaliland Region,Africa,Africa
South Africa,Africa,Africa
South Sudan,Africa,Africa
Swaziland,Africa,Africa
Tanzania,Africa,Africa
Togo,Africa,Africa
Uganda,Africa,Africa
Zambia,Africa,Africa
Zimbabwe,Africa,Africa
Algeria,Arab States,Africa
Bahrain,Arab States,Asia
Comoros,Arab States,Africa
Djibouti,Arab States,Africa
Egypt,Arab States,Africa
Iraq,Arab States,Asia
Jordan,Arab States,Asia
Kuwait,Arab States,Asia
Lebanon,Arab States,Asia
Libya,Arab States,Africa
Mauritania,Arab States,Africa
Morocco,Arab States,Africa
Oman,Arab States,Asia
Palestinian Territories,Arab States,Asia
Qatar,Arab States,Asia
Saudi Arabia,Arab States,Asia
Somalia,Arab States,Africa
Sudan,Arab States,Africa
Tunisia,Arab States,Africa
United Arab Emirates,Arab States,Asia
Yemen,Arab States,Asia
Afghanistan,Asia & Pacific,Asia
Australia,Asia & Pacific,Oceania
Azerbaijan,Asia & Pacific,Europe
Bangladesh,Asia & Pacific,Asia
Bhutan,Asia & Pacific,Asia
Cambodia,Asia & Pacific,Asia
China,Asia & Pacific,Asia
Hong Kong,Asia & Pacific,Asia
"Hong Kong S.A.R., China",Asia & Pacific,Asia
India,Asia & Pacific,Asia
Indonesia,Asia & Pacific,Asia
Iran,Asia & Pacific,Asia
Japan,Asia & Pacific,Asia
Kazakhstan,Asia & Pacific,Asia
Kyrgyzstan,Asia & Pacific,Asia
Laos,Asia & Pacific,Asia
Malaysia,Asia & Pacific,Asia
Mongolia,Asia & Pacific,Asia
Myanmar,Asia & Pacific,Asia
Nepal,Asia & Pacific,Asia
New Zealand,Asia & Pacific,Oceania
Pakistan,Asia & Pacific,Asia
Philippines,Asia & Pacific,Asia
Singapore,Asia & Pacific,Asia
South Korea,Asia & Pacific,Asia
Sri Lanka,Asia & Pacific,Asia
Syria,Asia & Pacific,Asia
Taiwan,Asia & Pacific,Asia
Taiwan Province of China,Asia & Pacific,Asia
Tajikistan,Asia & Pacific,Asia
Thailand,Asia & Pacific,Asia
Turkmenistan,Asia & Pacific,Asia
Uzbekistan,Asia & Pacific,Asia
Vietnam,Asia & Pacific,Asia
Albania,Europe,Europe
Armenia,Europe,Europe
Austria,Europe,Europe
Belarus,Europe,Europe
Belgium,Europe,Europe
Bosnia and Herzegovina,Europe,Europe
Bulgaria,Europe,Europe
Croatia,Europe,Europe
Cyprus,Europe,Europe
Czech Republic,Europe,Europe
Denmark,Europe,Europe
Estonia,Europe,Europe
Finland,Europe,Europe
France,Europe,Europe
Georgia,Europe,Europe
Germany,Europe,Europe
Greece,Europe,Europe
Hungary,Europe,Europe
Iceland,Europe,Europe
Ireland,Europe,Europe
Israel,Europe,Asia
Italy,Europe,Europe
Kosovo,Europe,Europe
Latvia,Europe,Europe
Lithuania,Europe,Europe
Luxembourg,Europe,Europe
Macedonia,Europe,Europe
Malta,Europe,Europe
Moldova,Europe,Europe
Montenegro,Europe,Europe
Netherlands,Europe,Europe
North Cyprus,Europe,Europe
Norway,Europe,Europe
Poland,Europe,Europe
Portugal,Europe,Europe
Romania,Europe,Europe
Russia,Europe,Europe
Serbia,Europe,Europe
Slovakia,Europe,Europe
Slovenia,Europe,Europe
Spain,Europe,Europe
Sweden,Europe,Europe
Switzerland,Europe,Europe
Turkey,Europe,Asia
Ukraine,Europe,Europe
United Kingdom,Europe,Europe
Canada,North America,North America
United States,North America,North America
Argentina,South/Latin America,South America
Belize,South/Latin America,North America
Bolivia,South/Latin America,South America
Brazil,South/Latin America,South America
Chile,South/Latin America,South America
Colombia,South/Latin America,South America
Costa Rica,South/Latin America,North America
Dominican Republic,South/Latin America,North America
Ecuador,South/Latin America,South America
El Salvador,South/Latin America,North America
Guatemala,South/Latin America,North America
Haiti,South/Latin America,North America
Honduras,South/Latin America,North America
Jamaica,South/Latin America,North America
Mexico,South/Latin America,North America
Nicaragua,South/Latin America,North America
Panama,South/Latin America,North America
Paraguay,South/Latin America,South America
Peru,South/Latin America,South America
Puerto Rico,South/Latin America,North America
Suriname,South/Latin America,South America
Trinidad and Tobago,South/Latin America,North America
Uruguay,South/Latin America,South America
Venezuela,South/Latin America,South America
